2019/10/25 06:15:20 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /l.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:20 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /phpinfo.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:21 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /test.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:27 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "POST /bbs.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:27 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "POST /forum.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:28 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "POST /forums.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:29 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "POST /bbs/index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:30 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "POST /forum/index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:31 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "POST /forums/index.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:36 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /help.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:36 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /java.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:37 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /_query.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:37 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /test.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:38 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /db_cts.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:38 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /db_pma.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:39 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /logon.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:39 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /help-e.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:40 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /license.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:40 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /log.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:41 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /hell.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:41 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /pmd_online.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:42 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /x.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:45 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /shell.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:47 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /htdocs.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:48 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /b.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:50 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /sane.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:50 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /desktop.ini.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:51 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /z.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:52 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /lala.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:52 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /lala-dpr.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:53 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /wpc.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:54 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /wpo.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:55 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /t6nv.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:57 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /muhstik.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:58 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /text.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:15:59 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /wp-config.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:00 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /muhstik.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:01 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /muhstik2.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:01 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /muhstiks.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:02 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /muhstik-dpr.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:02 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /lol.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:03 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /uploader.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:04 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /cmd.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:05 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /cmv.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:06 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /cmdd.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:06 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /knal.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:07 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /cmd.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:07 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /shell.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:08 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /appserv.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:09 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /scripts/setup.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:10 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /phpmyadmin/scripts/setup.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:11 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /phpMyAdmin/scripts/setup.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:11 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /scripts/db___.init.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:12 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /phpmyadmin/scripts/db___.init.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
2019/10/25 06:16:12 [error] 8#0: *286 FastCGI sent in stderr: "Primary script unknown" while reading response header from upstream, client: 118.24.235.213, server: 192.168.99.100, request: "GET /phpMyAdmin/scripts/db___.init.php HTTP/1.1", upstream: "fastcgi://172.17.0.2:9000", host: "181.119.112.130"
